"id","name_en","name_fr","map_url","website","address1","address2","zip_code","country","state","city"
"36","L'Olympia","L'Olympia","https://www.google.ca/maps/place/Theatre+De+L'Olympia/@45.517102,-73.557276,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb3a70ea0756874a5","http://www.olympiamontreal.com/","1004 Ste-Catherine E.","","H2L 2G2","Canada","Quebec","Montréal"
"116","La Chapelle","La Chapelle","https://www.google.com/maps/search/?api=1&query=45.5149703%2C-73.5736422","http://lachapelle.org/","3700 rue Saint-Dominique","","H2X2X7","Canada","Quebec","Montreal"
"143","la petite librairie Drawn & Quarterly","la petite librairie Drawn & Quarterly","https://www.google.ca/maps/place/La+Petite+Librairie+Drawn+%26+Quarterly/@45.5251122,-73.6040465,15z/data=!4m2!3m1!1s0x0:0x2df94c192d04c739?sa=X&ved=2ahUKEwi45OK18rrdAhVGrlkKHTRlCxAQ_BIwCnoECAoQCw","http://mtl.drawnandquarterly.com/","176 Bernard Ouest","","H2T 2K2","Canada","QC","Montreal"
"4","La Sala Rossa","La Sala Rossa","https://maps.google.ca/maps?oe=utf-8&client=firefox-a&ie=UTF8&q=SALA+ROSSA&fb=1&gl=ca&hq=SALA+ROSSA&hnear=0x4cc91a541c64b70d:0x654e3138211fefef,Montreal,+QC&cid=0,0,12796574616310295488&ll=45.521804,-73.590331&spn=0.009682,0.018024&t=m&z=16&vpsrc=0&iwloc=A","http://www.casadelpopolo.com","4848 St-Laurent","","H2T 1R5","Canada","Quebec","Montréal"
"9","La Tulipe","La Tulipe","https://maps.google.ca/maps?q=Cabaret+La+Tulipe,+Montreal,+QC&hl=en&sll=45.523903,-73.582509&sspn=0.009636,0.018346&oq=la+tulipe&t=h&hq=Cabaret+La+Tulipe,&hnear=Montreal,+Quebec&z=13","http://www.latulipe.ca","4530 Papineau","","H2H 1V3","Canada","Quebec","Montréal"
"30","La Vitrola","La Vitrola","https://www.google.ca/maps/place/4602+Boulevard+Saint-Laurent/@45.5209873,-73.5885926,17z/data=!3m1!4b1!4m2!3m1!1s0x4cc91bd47e25ac4b:0xf6bae382b3b10305","http://www.greenland.ca","4602 St- Laurent","","H2T 1R3","Canada","Quebec","Montréal"
"74","Le Balcon","Le Balcon","http://www.lebalcon.ca/en/location-and-parking#main","http://www.lebalcon.ca/","463, Rue Sainte-Catherine Ouest ","","H2W1Y8","Canada","Quebec","Montreal"
"19","Le Belmont","Le Belmont","https://maps.google.ca/maps?ie=UTF-8&q=Belmont+sur+le+Boulevard+(Le)&fb=1&gl=ca&hq=Belmont+sur+le+Boulevard&cid=0,0,3900048740548779126&ei=I6VdUtK_GqHayAH58oBA&ved=0CJUBEPwSMAk","http://lebelmont.com","4483 St-Laurent","","H2T 1R4","Canada","Quebec","Montréal"
"27","Le Bleury","Le Bleury","https://maps.google.ca/maps?q=2109+Bleury,+Montreal,+QC,+H3A+2K2&ie=UTF-8&hq;=&hnear=0x4cc91a48dd5b048f:0xcabd5f2fb00a620f,2109+Rue+de+Bleury,+Montréal,+QC+H3A&gl=ca&ei=-XL1UtbHH4f4yAHKmoDgAw&ved=0CCsQ8gEwAA","http://vinylebleury.ca/","2109 Bleury","","H3A 2K2","Canada","Quebec","Montréal"
"66","Le Cinq","Le Cinq","https://www.google.ca/maps/place/Le+Cinq+Boite+de+nuit+&+restaurant/@45.49744,-73.5747132,15z/data=!4m2!3m1!1s0x0:0x901c6c2b297eb10d?sa=X&ved=0ahUKEwiR2JzG-tnKAhWLxIMKHRmaBPgQ_BIIfjAL","http://lecinq.ca","1234 Rue de la Montagne","","H3G 1Z1","Canada","Quebec","Montreal"
"100","Le Club","Le Club","https://www.google.com/maps/place/Le+Club+Dix30/@45.4557685,-73.4827169,14z/data=!4m8!1m2!2m1!1sle+club,+brossard!3m4!1s0x4cc90f4f85db237d:0xd93049bfa826b1a8!8m2!3d45.4454535!4d-73.4381654?hl=fr","http://www.leclubdix30.com","9200 Boulevard Leduc","","J4Y 0L1","Canada","Quebec","Brossard"
"172","Le Gesù","Le Gesù","https://www.google.com/maps/place/Gesu/@45.50568,-73.565996,15z/data=!4m2!3m1!1s0x0:0xadd0cddb1d563489?sa=X&ved=2ahUKEwj5-M7A_a3lAhWIiOAKHaI2DokQ_BIwHHoECAoQCA","https://www.legesu.com/","1200 Rue de Bleury","","H3B 3J3","Canada","Québec","Montréal"
"42","Le Late Night Little Burgundy","Le Late Night Little Burgundy","https://www.google.com/maps/place/105+Rue+Saint+Viateur+Ouest,+Montréal,+QC+H2T+2L2,+Canada/@45.524543,-73.600306,12z/data=!4m2!3m1!1s0x4cc91979503a9fe7:0x79488b2dd6f5cacf?hl=en-US","http://www.popmontreal.com","105 St-Viateur O","","H2T 2X2","Canada","Quebec","Montréal"
"131","Le Milieu","Le Milieu","https://www.google.ca/maps/place/1251+Rue+Robin,+Montr%C3%A9al,+QC+H2L+1W8/data=!4m2!3m1!1s0x4cc91bb1139a5b55:0x82d8ac61ba3a0763?sa=X&ved=2ahUKEwjHtoDhhNXcAhUSk1kKHXXmDWAQ8gEwAHoECAAQAQ","http://www.lemilieu.ca/","1251 Rue Robin","","H2L 1W8","Canada","QC","Montreal"
"94","Le Ministère","Le Ministère","https://www.google.ca/maps/place/Le+Minist%C3%A8re/@45.5205017,-73.5868064,15z/data=!4m2!3m1!1s0x0:0xc0e509ef0666366f?sa=X&ved=0ahUKEwiQ7em9zYLZAhWlyoMKHQx7BmkQ_BIIkwEwCg","http://leministere.ca","4521 Saint-Laurent","","H2T 1R2","Canada","Quebec","Montreal"
"10","Le National","Le National","https://maps.google.ca/maps?q=Le+National,+Montreal,+QC&hl=en&sll=45.533177,-73.575403&sspn=0.077079,0.14677&t=h&hq=Le+National,&hnear=Montreal,+Quebec&z=12&iwloc=A","http://www.latulipe.ca","1220 Rue Ste-Catherine E.","","H2L 2G9","Canada","Quebec","Montréal"
"134","Le Nouveau Studio","Le Nouveau Studio","https://www.google.ca/maps/place/137+Rue+Saint-Ferdinand+%23220,+Montreal,+QC+H4C+2B9/data=!4m2!3m1!1s0x4cc9109cb4ee99e3:0x1c0719f31e672969?sa=X&ved=2ahUKEwiiwc6a7avdAhVMj1kKHQGnBlsQ8gEwAHoECAUQAQ","https://www.facebook.com/LeNouveauStudioStHenri/","137 Rue Saint-Ferdinand #220","","H4C2B9","Canada","Quebec","Montreal"
